"","Bag","Bottle","Clothing","Face","Flush button","Hair","Phone","Skin","Toilet brush handle","Toilet paper","Toilet surface"
"Bag",0.0833333333333333,0,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0,0.0833333333333333,0
"Bottle",0.166666666666667,0.5,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0
"Clothing",0.0540540540540541,0.027027027027027,0.216216216216216,0.027027027027027,0.189189189189189,0,0.135135135135135,0.0810810810810811,0,0.243243243243243,0.027027027027027
"Face",0.25,0,0.25,0.5,0,0,0,0,0,0,0
"Flush button",0.333333333333333,0,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.25,0,0.0833333333333333,0,0
"Hair",0,0,0,0,0,0,0,0,0,0,0
"Phone",0.117647058823529,0,0.294117647058824,0,0.0588235294117647,0,0.294117647058824,0,0,0.235294117647059,0
"Skin",0,0.0909090909090909,0.363636363636364,0,0.0909090909090909,0,0.0909090909090909,0,0,0.272727272727273,0.0909090909090909
"Toilet brush handle",0,0,0,0,0,0,1,0,0,0,0
"Toilet paper",0,0,0.407407407407407,0,0.037037037037037,0,0,0.296296296296296,0,0.185185185185185,0.0740740740740741
"Toilet surface",0,0,0.4,0,0.4,0,0,0,0,0.2,0
