"","Bag","Bin outside the cubicle","Bottle","Clothing","Cubicle door handle inside","Cubicle door handle outside","Door handle inside","Door handle outside","Face","Flush button","Hair","Hand dryer","Menstrual product","Paper towel","Phone","Sanitary bin","Skin","Soap dispenser","Tap","Toilet brush handle","Toilet paper","Toilet surface"
"Bag",0.1,0,0.05,0.4,0.1,0,0.1,0,0,0,0,0,0.05,0,0.1,0,0,0.05,0.05,0,0,0
"Bin outside the cubicle",0.125,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
"Bottle",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"Clothing",0.0909090909090909,0,0,0,0.0454545454545455,0,0,0,0.0454545454545455,0.181818181818182,0.0454545454545455,0,0.272727272727273,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0454545454545455,0.0227272727272727,0,0,0.159090909090909,0.0227272727272727
"Cubicle door handle inside",0.153846153846154,0,0,0.192307692307692,0.192307692307692,0.0384615384615385,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0769230769230769,0.153846153846154,0,0.115384615384615,0.0384615384615385
"Cubicle door handle outside",0.142857142857143,0,0,0,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle inside",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle outside",0,0,0,0,0.444444444444444,0.444444444444444,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Face",0,0.25,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flush button",0.272727272727273,0,0.0909090909090909,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.181818181818182,0,0,0
"Hair",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0
"Hand dryer",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menstrual product",0,0,0,0.192307692307692,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0.153846153846154,0.269230769230769,0,0,0,0.115384615384615,0.0384615384615385
"Paper towel",0,0.5,0,0.0714285714285714,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0
"Phone",0.166666666666667,0,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0,0
"Sanitary bin",0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"Skin",0,0,0,0.583333333333333,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.0833333333333333,0,0,0,0.166666666666667,0
"Soap dispenser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tap",0,0,0,0,0.03125,0,0,0,0,0,0,0.0625,0,0.28125,0,0,0,0.1875,0.4375,0,0,0
"Toilet brush handle",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toilet paper",0.111111111111111,0,0,0.388888888888889,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.111111111111111,0,0,0,0.166666666666667,0.111111111111111
"Toilet surface",0,0,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
