"","Bottle","Clothing","Door handle inside","Door handle outside","Face","Phone","Skin","Soap dispenser","Tap","Toilet paper"
"Bottle",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
"Clothing",0,0,0.115384615384615,0,0,0.0384615384615385,0.461538461538462,0.192307692307692,0.192307692307692,0
"Door handle inside",0,0,0,0,0,0,0,0,1,0
"Door handle outside",0.0833333333333333,0.916666666666667,0,0,0,0,0,0,0,0
"Face",0,0,0.5,0,0,0,0,0,0.5,0
"Phone",0,0,0,0,0,0,0,0,1,0
"Skin",0,1,0,0,0,0,0,0,0,0
"Soap dispenser",0,0,0,0,0,0,0,0.0909090909090909,0.909090909090909,0
"Tap",0,0.0465116279069767,0.162790697674419,0,0.0465116279069767,0,0,0.0930232558139535,0.581395348837209,0.0697674418604651
"Toilet paper",0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0
