ExperimentID,ParticipantID,Activity,Activity_Sub_Type,Surface,Hand,Toilet_type,Sex,ID,SurfaceCategories
YPPXM4223O,CEW005,Urination,NA,Door handle outside,Right,Women,Female,1 CEW005,Entry
YPPXM4223O,CEW005,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW005,CubicleOUT
YPPXM4223O,CEW005,Urination,NA,Toilet surface,Left,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Both,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Toilet paper,Both,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Left,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Clothing,Both,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Flush button,Right,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Left,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW005,CubicleOUT
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Soap dispenser,Left,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Phone,Right,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Hand dryer,Both,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Door handle inside,Right,Women,Female,1 CEW005,Exit
WPNWF7148K,CEW005,Defecation,NA,Door handle outside,Right,Women,Female,2 CEW005,Entry
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle outside,Left,Women,Female,2 CEW005,CubicleIN
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW005,CubicleOUT
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Right,Women,Female,2 CEW005,CubicleOUT
WPNWF7148K,CEW005,Defecation,NA,Phone,Right,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Clothing,Both,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Skin,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Phone,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Clothing,Both,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Flush button,Right,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Phone,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Right,Women,Female,2 CEW005,CubicleOUT
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Soap dispenser,Left,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Phone,Right,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Hand dryer,Both,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Door handle inside,Left,Women,Female,2 CEW005,Exit
RTIHL2258R,CEW005,MHM,Sanitary pad,Door handle outside,Right,Women,Female,3 CEW005,Entry
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle outside,Left,Women,Female,3 CEW005,CubicleIN
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Left,Women,Female,3 CEW005,CubicleOUT
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Right,Women,Female,3 CEW005,CubicleOUT
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Menstrual product,Right,Women,Female,3 CEW005,MHM
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Menstrual product,Left,Women,Female,3 CEW005,MHM
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Flush button,Right,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Right,Women,Female,3 CEW005,CubicleOUT
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Soap dispenser,Left,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Hand dryer,Both,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Door handle inside,Left,Women,Female,3 CEW005,Exit
MXKYM6897V,CEW015,Urination,NA,Door handle outside,Right,Women,Female,1 CEW015,Entry
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Left,Women,Female,1 CEW015,CubicleOUT
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW015,CubicleOUT
MXKYM6897V,CEW015,Urination,NA,Clothing,Both,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Phone,Left,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Toilet paper,Both,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Clothing,Both,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Phone,Left,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW015,CubicleOUT
MXKYM6897V,CEW015,Urination,NA,Flush button,Right,Women,Female,1 CEW015,Cubicle
