Activity,Toilet_type,ExperimentID,Sequence_length,Location_transitions,Unique_surfaces,Has_handwashing,Personal_items_touched
Defecation,Gender neutral,ONALS9939Q,17,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,6
Defecation,Gender neutral,THAZE5970X,29,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,15,True,9
Defecation,Gender neutral,LKDJN4154Z,13,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,9,True,4
Defecation,Gender neutral,CJCKN6209H,21,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Entry,13,True,8
Defecation,Gender neutral,OQAWP4999W,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,10
Defecation,Gender neutral,SAGKZ1459N,58,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Entry,14,True,23
Defecation,Gender neutral,XNNBS2277A,21,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,11,True,10
Defecation,Gender neutral,KYDPI7685X,31,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,14,True,19
Defecation,Gender neutral,DYNJO1349O,28,Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal,9,True,9
Defecation,Gender neutral,RZIYE2941F,29,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,14
Defecation,Gender neutral,MHNQS9049I,36,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,12
