ExperimentID,ParticipantID,Activity,Activity_Sub_Type,Surface,Hand,Toilet_type,Sex,ID,SurfaceCategories
YPPXM4223O,CEW005,Urination,NA,Outside door handle,Right,Women,Female,1 CEW005,Door
YPPXM4223O,CEW005,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Toilet surface,Left,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Both,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Toilet paper,Both,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Left,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Clothing,Both,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Flush button,Right,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Phone,Left,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW005,Cubicle
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Soap dispenser,Left,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Tap,Right,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Phone,Right,Women,Female,1 CEW005,Personal
YPPXM4223O,CEW005,Urination,NA,Hand dryer,Both,Women,Female,1 CEW005,Hygiene
YPPXM4223O,CEW005,Urination,NA,Inside door handle,Right,Women,Female,1 CEW005,Door
YPPXM4223O,CEW005,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW006,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW007,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
