"","Bag","Bin inside the cubicle","Bottle","Clothing","Face","Flush button","Hair","Menstrual cup","Phone","Sanitary pad","Skin","Tampon","Toilet brush handle","Toilet paper","Toilet surface"
"Bag",0.2,0,0.0666666666666667,0.533333333333333,0,0,0,0,0.133333333333333,0.0666666666666667,0,0,0,0,0
"Bin inside the cubicle",0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0.166666666666667,0,0,0
"Bottle",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"Clothing",0.0930232558139535,0.0232558139534884,0,0.0465116279069767,0.0465116279069767,0.209302325581395,0.0465116279069767,0.0465116279069767,0.0232558139534884,0.209302325581395,0.0465116279069767,0.0232558139534884,0,0.162790697674419,0.0232558139534884
"Face",0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"Flush button",0.5,0,0.125,0,0.125,0,0,0,0.25,0,0,0,0,0,0
"Hair",0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
"Menstrual cup",0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0.2
"Phone",0.2,0,0,0.4,0,0,0.2,0,0,0,0,0,0.2,0,0
"Sanitary pad",0,0.157894736842105,0,0.263157894736842,0,0,0,0,0,0.263157894736842,0.210526315789474,0,0,0.105263157894737,0
"Skin",0,0,0,0.583333333333333,0,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0.166666666666667,0
"Tampon",0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Toilet brush handle",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Toilet paper",0.111111111111111,0.0555555555555556,0,0.444444444444444,0,0,0,0,0,0,0.111111111111111,0,0,0.166666666666667,0.111111111111111
"Toilet surface",0,0,0,0.6,0,0.4,0,0,0,0,0,0,0,0,0
