"","Bag","Bin outside the cubicle","Clothing","Cubicle door handle inside","Cubicle door handle outside","Door handle inside","Door handle outside","Face","Flush button","Hair","Hand dryer","Paper towel","Phone","Skin","Soap dispenser","Tap","Toilet paper","Toilet surface"
"Bag",0.153846153846154,0,0.461538461538462,0.307692307692308,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0
"Bin outside the cubicle",0.111111111111111,0,0,0,0,0.777777777777778,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0
"Clothing",0.111111111111111,0,0,0,0,0,0,0.0740740740740741,0.185185185185185,0,0,0,0.148148148148148,0.037037037037037,0.0740740740740741,0.0740740740740741,0.222222222222222,0.0740740740740741
"Cubicle door handle inside",0.111111111111111,0,0.259259259259259,0.222222222222222,0,0,0,0,0.037037037037037,0,0,0,0,0,0.0740740740740741,0.111111111111111,0.111111111111111,0.0740740740740741
"Cubicle door handle outside",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle inside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door handle outside",0,0,0,0.444444444444444,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0
"Face",0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0
"Flush button",0.181818181818182,0,0,0.272727272727273,0,0,0,0,0.0909090909090909,0,0,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0
"Hair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Hand dryer",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Paper towel",0,0.5,0,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0,0.357142857142857,0,0,0,0,0,0
"Phone",0,0,0.1,0.2,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0.3,0
"Skin",0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
"Soap dispenser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tap",0,0.0333333333333333,0,0,0,0,0,0,0.0333333333333333,0,0.0333333333333333,0.266666666666667,0.0333333333333333,0,0.166666666666667,0.433333333333333,0,0
"Toilet paper",0.0740740740740741,0,0.37037037037037,0.037037037037037,0,0,0,0,0.037037037037037,0,0,0,0.037037037037037,0.111111111111111,0,0,0.296296296296296,0.037037037037037
"Toilet surface",0,0,0.2,0,0,0,0,0,0.4,0,0,0,0.2,0.2,0,0,0,0
