participantID,start_time,stop_time,Duration,mn*60,sec,Total duration,Gender,toilet_type,activity
WT_001_W,25/07/2022 15:16,25/07/2022 15:18,02: 18,120,18,138,F,W,U
WT_001_W,25/07/2022 15:20,25/07/2022 15:21,01: 48,60,48,108,F,W,D
WT_001_W,25/07/2022 15:23,25/07/2022 15:25,02: 37,120,37,157,F,W,M
WT_002_W,25/07/2022 15:37,25/07/2022 15:38,01: 03,60,3,63,F,W,U
WT_002_W,25/07/2022 15:39,25/07/2022 15:40,01: 32,60,32,92,F,W,D
WT_002_W,25/07/2022 15:46,25/07/2022 15:48,02: 00,120,0,120,F,W,M
WT_003_W,25/07/2022 16:11,25/07/2022 16:13,02: 45,120,45,165,F,W,U
WT_003_W,25/07/2022 16:16,25/07/2022 16:29,13: 00,780,0,780,F,W,D
WT_003_W,25/07/2022 16:37,25/07/2022 16:40,03: 00,180,0,180,F,W,M
WT_004_W,26/07/2022 11:49,26/07/2022 11:50,01: 21,60,21,81,F,W,U
WT_004_W,26/07/2022 11:52,26/07/2022 11:54,02: 13,120,13,133,F,W,D
WT_004_W,26/07/2022 11:56,26/07/2022 11:58,02: 28,120,28,148,F,W,M
WT_005_W,26/07/2022 12:27,26/07/2022 12:29,02: 54,120,54,174,F,W,U
WT_005_W,26/07/2022 12:30,26/07/2022 12:37,07: 38,420,38,458,F,W,D
WT_005_W,26/07/2022 12:40,26/07/2022 12:41,01: 22,60,22,82,F,W,M
WT_006_W,26/07/2022 12:53,26/07/2022 12:54,01: 39,60,39,99,F,W,U
WT_006_W,26/07/2022 12:56,26/07/2022 12:59,03: 43,180,43,223,F,W,D
WT_006_W,26/07/2022 13:01,26/07/2022 13:03,02: 37,120,37,157,F,W,M
WT_007_W,26/07/2022 14:28,26/07/2022 14:31,03: 53,180,53,233,F,W,U
WT_007_W,26/07/2022 14:32,26/07/2022 14:37,05: 27,300,27,327,F,W,D
WT_007_W,26/07/2022 14:39,26/07/2022 14:43,04: 28,240,28,268,F,W,M
WT_008_W,26/07/2022 14:51,26/07/2022 14:53,02: 58,120,58,178,F,W,U
WT_008_W,26/07/2022 14:55,26/07/2022 15:01,06: 37,360,37,397,F,W,D
WT_008_W,26/07/2022 15:04,26/07/2022 15:06,02: 56,120,56,176,F,W,M
WT_009_W,26/07/2022 15:43,26/07/2022 15:44,01: 38,60,38,98,F,W,U
WT_009_W,26/07/2022 15:46,26/07/2022 15:49,03: 41,180,41,221,F,W,D
WT_009_W,26/07/2022 15:52,26/07/2022 15:54,02: 54,120,54,174,F,W,M
